Name,PV_File,WIND_File
Köln_Stammheim,PV_Köln_Stammheim_20150101-20241231_merra2_567b6ddef7.csv,Wind_Köln_Stammheim_20150101-20241231_merra2_a6d7f2589a.csv
Düsseldorf-Nord,PV_Düsseldorf-Nord_20150101-20241231_merra2_43b14af904.csv,Wind_Düsseldorf-Nord_20150101-20241231_merra2_a6d7f2589a.csv
Krefeld,PV_Krefeld_20150101-20241231_merra2_68f935552f.csv,Wind_Krefeld_20150101-20241231_merra2_a6d7f2589a.csv
Mönchengladbach_GWK_I,PV_Mönchengladbach_GWK_I_20150101-20241231_merra2_664b044967.csv,Wind_Mönchengladbach_GWK_I_20150101-20241231_merra2_a6d7f2589a.csv
Neuss-Ost,PV_Neuss-Ost_20150101-20241231_merra2_664b044967.csv,Wind_Neuss-Ost_20150101-20241231_merra2_a6d7f2589a.csv
Münster-Hauptkläranlage,PV_Münster-Hauptkläranlage_20150101-20241231_merra2_60b618a189.csv,Wind_Münster-Hauptkläranlage_20150101-20241231_merra2_a6d7f2589a.csv
Abwasserverband_Obere_Lutter,PV_Abwasserverband_Obere_Lutter_20150101-20241231_merra2_3644c1cbba.csv,Wind_Abwasserverband_Obere_Lutter_20150101-20241231_merra2_a6d7f2589a.csv
Düren,PV_Düren_20150101-20241231_merra2_e8b4962e34.csv,Wind_Düren_20150101-20241231_merra2_a6d7f2589a.csv
Paderborn_Sande,PV_Paderborn_Sande_20150101-20241231_merra2_0fc64b1b27.csv,Wind_Paderborn_Sande_20150101-20241231_merra2_a6d7f2589a.csv
Düsseldorf-Süd,PV_Düsseldorf-Süd_20150101-20241231_merra2_664b044967.csv,Wind_Düsseldorf-Süd_20150101-20241231_merra2_a6d7f2589a.csv
Wuppertal-Buchenhofen,PV_Wuppertal-Buchenhofen_20150101-20241231_merra2_664b044967.csv,Wind_Wuppertal-Buchenhofen_20150101-20241231_merra2_a6d7f2589a.csv
Duisburg-Kaßlerfeld,PV_Duisburg-Kaßlerfeld_20150101-20241231_merra2_68f935552f.csv,Wind_Duisburg-Kaßlerfeld_20150101-20241231_merra2_a6d7f2589a.csv
Emscherkläranlage,PV_Emscherkläranlage_20150101-20241231_merra2_22f8980d0b.csv,Wind_Emscherkläranlage_20150101-20241231_merra2_a6d7f2589a.csv
Duisburg-Alte_Emscher,PV_Duisburg-Alte_Emscher_20150101-20241231_merra2_22f8980d0b.csv,Wind_Duisburg-Alte_Emscher_20150101-20241231_merra2_a6d7f2589a.csv
Koblenz,PV_Koblenz_20150101-20241231_merra2_92f73bd59e.csv,Wind_Koblenz_20150101-20241231_merra2_a6d7f2589a.csv
Mainz,PV_Mainz_20150101-20241231_merra2_4c80d0bb5f.csv,Wind_Mainz_20150101-20241231_merra2_a6d7f2589a.csv
Trier_Hauptklärwerk,PV_Trier_Hauptklärwerk_20150101-20241231_merra2_45a48e10c0.csv,Wind_Trier_Hauptklärwerk_20150101-20241231_merra2_a6d7f2589a.csv
Hetlingen,PV_Hetlingen_20150101-20241231_merra2_90cf341c59.csv,Wind_Hetlingen_20150101-20241231_merra2_a6d7f2589a.csv
Neumünster,PV_Neumünster_20150101-20241231_merra2_3e394c49d7.csv,Wind_Neumünster_20150101-20241231_merra2_a6d7f2589a.csv
Bitterfeld-Wolfen,PV_Bitterfeld-Wolfen_20150101-20241231_merra2_0fc64b1b27.csv,Wind_Bitterfeld-Wolfen_20150101-20241231_merra2_a6d7f2589a.csv
Halle-Nord,PV_Halle-Nord_20150101-20241231_merra2_22f8980d0b.csv,Wind_Halle-Nord_20150101-20241231_merra2_a6d7f2589a.csv
Schkopau,PV_Schkopau_20150101-20241231_merra2_68f935552f.csv,Wind_Schkopau_20150101-20241231_merra2_a6d7f2589a.csv
MD-Gerwisch,PV_MD-Gerwisch_20150101-20241231_merra2_5d989c5281.csv,Wind_MD-Gerwisch_20150101-20241231_merra2_a6d7f2589a.csv
Lynetten,PV_Lynetten_20150101-20241231_merra2_66fe5cfdc5.csv,Wind_Lynetten_20150101-20241231_merra2_a6d7f2589a.csv
Damhusåen,PV_Damhusåen_20150101-20241231_merra2_66fe5cfdc5.csv,Wind_Damhusåen_20150101-20241231_merra2_a6d7f2589a.csv
